,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
402,Judith Brown,"Host-free biofilm culture of “Candidatus Liberibacter asiaticus,” the bacterium associated with Huanglongbing","Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens","Professor School of Plant Sciences, University of Arizona",,,,,,
403,Judith Brown,"Host-free biofilm culture of “Candidatus Liberibacter asiaticus,” the bacterium associated with Huanglongbing","Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",University of Arizona,32.2356928,-110.951744,Pima County,Tucson,Arizona,United States
404,Jukka P. Matinlinna,Artificial intelligence in dentistry—A review,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Docent,50.0748684,19.9976875,,Krakow,Lesser Poland Voivodeship,Poland
405,Jukka P. Matinlinna,Artificial intelligence in dentistry—A review,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Dr,48.0307914,27.8212536,,,,Moldova
406,Jukka P. Matinlinna,Artificial intelligence in dentistry—A review,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,"Professor, Dr, Docent",,,,,,
407,Jun Ma,Abdomenct-1k: Is abdominal organ segmentation a solved problem?,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,University of Toronto,43.663462,-79.3977597,,Toronto,Ontario,Canada
408,Junfei Xiao,Clip-driven universal model for organ segmentation and tumor detection,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Johns Hopkins University,39.3302022,-76.6218536,,Baltimore,Maryland,United States
409,Kamyar Shameli, Exploring the molecular interactions between Neoculin and the human sweet taste receptors through computational approaches,"De Azevedo Jr., WF (2008)",Technical University of Munich,48.265506,11.6693359,Landkreis München,,Bavaria,Germany
410,Karatuğ Ozan Bircan,A comparative analysis of current phasing and imputation software,Genotype imputation and variability in polygenic risk score estimation,EMBL-EBI,52.0779084,0.1871125,Cambridgeshire,South Cambridgeshire,England,United Kingdom
411,Karen D. Corbin,"Obesity in type 1 diabetes: pathophysiology, clinical impact, and mechanisms",Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,AdventHealth,28.5728165,-81.3714175,Orange County,Orlando,Florida,United States
412,Karen D. Corbin,"Obesity in type 1 diabetes: pathophysiology, clinical impact, and mechanisms",Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Associate Investigator,,,,,,
413,Karen D. Corbin,"Obesity in type 1 diabetes: pathophysiology, clinical impact, and mechanisms",Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,"Associate Investigator, AdventHealth, Translational Research Institute",,,,,,
414,Karen D. Corbin,"Obesity in type 1 diabetes: pathophysiology, clinical impact, and mechanisms",Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Translational Research Institute,-27.498964,153.0316378,,,Queensland,Australia
415,Katja Engel,"Cultivation and characterization of Candidatus Nitrosocosmicus exaquare, an ammonia-oxidizing archaeon from a municipal wastewater treatment system",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,University of Waterloo,43.4701994,-80.5452429,Region of Waterloo,Waterloo,Ontario,Canada
416,Kelsey Aadland,"High-throughput reconstruction of ancestral protein sequence, structure, and molecular function",Evaluation of molecular docking using polynomial empirical scoring functions,Computercraft Co.,,,,,,
417,Kelsey Aadland,"High-throughput reconstruction of ancestral protein sequence, structure, and molecular function",Evaluation of molecular docking using polynomial empirical scoring functions,"Computercraft Co., NCBI Protein Domains group",,,,,,
418,Kevin Riehle,Structure and function of the healthy pre-adolescent pediatric gut microbiome,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Baylor College of Medicine,29.7105439,-95.3958079,Harris County,Houston,Texas,United States
419,Kevin Y Wu,How medical AI devices are evaluated: limitations and recommendations from an analysis of FDA approvals,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,"Graduate Student, Stanford University",,,,,,
420,Kevin Y Wu,How medical AI devices are evaluated: limitations and recommendations from an analysis of FDA approvals,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Stanford University,37.4313138,-122.1693654,Santa Clara County,,California,United States
421,Kexin Huang,Scientific discovery in the age of artificial intelligence,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Stanford University,37.4313138,-122.1693654,Santa Clara County,,California,United States
422,Kieran Tuohy," Connecting the immune system, systemic chronic inflammation and the gut microbiome: the role of sex",Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,University of Leeds,53.8057925,-1.555111,,Leeds,England,United Kingdom
423,"Kimberly A. Driscoll, Ph.D.","Obesity in type 1 diabetes: pathophysiology, clinical impact, and mechanisms",Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,University of Florida,29.6411884,-82.3562296,Alachua County,Gainesville,Florida,United States
424,Konstantin Chekanov,Revealing of non-cultivable bacteria associated with the mycelium of fungi in the kerosene-degrading community isolated from the contaminated jet fuel,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",School of Biodiversity,,,,,,
425,Konstantin Chekanov,Revealing of non-cultivable bacteria associated with the mycelium of fungi in the kerosene-degrading community isolated from the contaminated jet fuel,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing","School of Biodiversity, One Health & Veterinary Medicine, University of Glasgow",,,,,,
426,Konstantin Chekanov,Revealing of non-cultivable bacteria associated with the mycelium of fungi in the kerosene-degrading community isolated from the contaminated jet fuel,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",University of Glasgow,1.3076892,103.7780353,,Singapore,,Singapore
427,Kristin Boye,Diverse ecophysiological adaptations of subsurface Thaumarchaeota in floodplain sediments revealed through genome-resolved metagenomics,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,SLAC National Accelerator Laboratory,37.4167876,-122.2049266,San Mateo County,,California,United States
428,"Krzysztof Kiryluk, MD",Polygenic scores and their applications in kidney disease,Genotype imputation and variability in polygenic risk score estimation,Columbia University,40.8077558,-73.9616141,New York County,New York,New York,United States
429,"Krzysztof Kiryluk, MD",Polygenic scores and their applications in kidney disease,Genotype imputation and variability in polygenic risk score estimation,"Professor, Columbia University",,,,,,
430,Laurent Dardenne,Receptor–ligand molecular docking,Computational methods for calculation of ligand-binding affinity,LNCC,-22.5298089,-43.217433,Região Metropolitana do Rio de Janeiro,Petrópolis,Rio de Janeiro,Brazil
431,Laurent Soulere,Exploring docking methods for virtual screening: application to the identification of neuraminidase and Ftsz potential inhibitors,"De Azevedo Jr., WF (2008)","Associate Professor, INSA LYON, ICBMS",,,,,,
432,Laurent Soulere,Exploring docking methods for virtual screening: application to the identification of neuraminidase and Ftsz potential inhibitors,"De Azevedo Jr., WF (2008)",ICBMS,45.7838061,4.8679706,Métropole de Lyon,Villeurbanne,Auvergne-Rhône-Alpes,France
433,Laurent Soulere,Exploring docking methods for virtual screening: application to the identification of neuraminidase and Ftsz potential inhibitors,"De Azevedo Jr., WF (2008)",INSA LYON,45.7830905,4.8759894,Métropole de Lyon,Villeurbanne,Auvergne-Rhône-Alpes,France
434,Leily Nurul Komariah,Microbial contamination of diesel-biodiesel blends in storage tank; an analysis of colony morphology,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",universitas sriwijaya,-3.2255315,104.6459991,Ogan Ilir,,South Sumatra,Indonesia
435,Leonardo Bruno Federico,Key aspects for achieving hits by virtual screening studies,"De Azevedo Jr., WF (2008)",Universidade Federal de Santa Catarina,-27.6034134,-48.5224425,,Florianópolis,Santa Catarina,Brazil
436,Leonardo Bruno Federico,Lead optimization in drug discovery,"De Azevedo Jr., WF (2008)",Universidade Federal de Santa Catarina,-27.6034134,-48.5224425,,Florianópolis,Santa Catarina,Brazil
437,Leonardo Scapozza, Virtual screening: an in silico tool for interlacing the chemical universe with the proteome,Structural studies of human purine nucleoside phosphorylase: towards a new specific empirical scoring function,University of Geneva,41.7994022,-80.9614527,Ashtabula County,,Ohio,United States
438,Levini Msimbira,The roles of plant growth promoting microbes in enhancing plant tolerance to acidity and alkalinity stresses,Soil pH determines microbial diversity and composition in the park grass experiment,McGill University,45.506875,-73.5790704,Urban agglomeration of Montreal,Montreal,Quebec,Canada
439,Lijun Sun,Dietary polyphenols modulate starch digestion and glycaemic level: A review,Molecular docking algorithms,Northwest A & F University,34.2617412,108.0641068,,Xianyang,Shaanxi,China
440,Linta Reji,Diverse ecophysiological adaptations of subsurface Thaumarchaeota in floodplain sediments revealed through genome-resolved metagenomics,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,"Assistant Professor, University of Chicago",,,,,,
441,Linta Reji,Diverse ecophysiological adaptations of subsurface Thaumarchaeota in floodplain sediments revealed through genome-resolved metagenomics,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,University of Chicago,41.7913968,-87.6008439,Cook County,Chicago,Illinois,United States
442,Louison Fresnais,The impact of compound library size on the performance of scoring functions for structure-based virtual screening,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,L'Oréal R&I,48.8681111,2.3234065,,Paris,,France
443,Luca Zoccarato,A comparative whole-genome approach identifies bacterial traits for marine microbial interactions,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,BOKU,40.3755885,49.8328009,,Baku City,,Azerbaijan
444,Lucas Moitinho-Silva,Integrated metabolism in sponge–microbe symbiosis revealed by genome-centered metatranscriptomics,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Christian-Albrechts-University Kiel,54.3458218,10.113073,,Kiel,Schleswig-Holstein,Germany
445,Luigi Bonizzi,Emerging applications of machine learning in genomic medicine and healthcare,Artificial intelligence in clinical and genomic diagnostics,Professor of Infectious Diseases of Domestic Animals,,,,,,
446,Luís Fernando Saraiva Macedo Timmers,Drug-binding databases,"De Azevedo Jr., WF (2008)",Assistant Professor at University of Taquari Valley,,,,,,
447,Luís Fernando Saraiva Macedo Timmers,Molecular recognition models: a challenge to overcome,"De Azevedo Jr., WF (2008)",Assistant Professor at University of Taquari Valley,,,,,,
448,"M. Nazmul Hoque, PhD","Insights into the resistome of bovine clinical mastitis microbiome, a key factor in disease complication",Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Gazipur Agricultural University,24.0360269,90.3962085,,Gazipur,Dhaka Division,Bangladesh
449,Mads Albertsen,"Cultivation and characterization of Candidatus Nitrosocosmicus exaquare, an ammonia-oxidizing archaeon from a municipal wastewater treatment system",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Aalborg University,57.015907,9.9753082,,Aalborg,North Denmark Region,Denmark
450,Mads Albertsen,"Cultivation and characterization of Candidatus Nitrosocosmicus exaquare, an ammonia-oxidizing archaeon from a municipal wastewater treatment system",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University",,,,,,
451,Mads Albertsen,"Cultivation and characterization of Candidatus Nitrosocosmicus exaquare, an ammonia-oxidizing archaeon from a municipal wastewater treatment system",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Bioscience,38.4337225,-78.8605518,,Harrisonburg,Virginia,United States
452,Marcelino Arciniega, Acoplamiento molecular: avances recientes y retos,"De Azevedo Jr., WF (2008)",Instituto de Fisiología Celular,19.3280666,-99.1789997,,Mexico City,Mexico City,Mexico
453,Marcelino Arciniega, Acoplamiento molecular: avances recientes y retos,"De Azevedo Jr., WF (2008)",Universidad Autónoma de México,18.9959284,-98.2058994,Municipio de Puebla,Puebla City,Puebla,Mexico
454,Marcelino Arciniega, Molecular docking: current advances and challenges,"De Azevedo Jr., WF (2008)",Instituto de Fisiología Celular,19.3280666,-99.1789997,,Mexico City,Mexico City,Mexico
455,Marcelino Arciniega, Molecular docking: current advances and challenges,"De Azevedo Jr., WF (2008)",Universidad Autónoma de México,18.9959284,-98.2058994,Municipio de Puebla,Puebla City,Puebla,Mexico
456,Marcus Vinicius Merfa e Silva,"Progress and Obstacles in Culturing 'Candidatus Liberibacter asiaticus', the Bacterium Associated with Huanglongbing","Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",Post Doctoral Scholar,,,,,,
457,Marcus Vinicius Merfa e Silva,"Progress and Obstacles in Culturing 'Candidatus Liberibacter asiaticus', the Bacterium Associated with Huanglongbing","Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens","Post Doctoral Scholar, The Ohio State University",,,,,,
458,Marcus Vinicius Merfa e Silva,"Progress and Obstacles in Culturing 'Candidatus Liberibacter asiaticus', the Bacterium Associated with Huanglongbing","Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",The Ohio State University,40.0056802,-83.0286612,Franklin County,Columbus,Ohio,United States
459,Marcus Vinicius Merfa e Silva,Zinkicide is a ZnO-based nanoformulation with bactericidal activity against Liberibacter crescens in batch cultures and in microfluidic chambers simulating plant …,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",Post Doctoral Scholar,,,,,,
460,Marcus Vinicius Merfa e Silva,Zinkicide is a ZnO-based nanoformulation with bactericidal activity against Liberibacter crescens in batch cultures and in microfluidic chambers simulating plant …,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens","Post Doctoral Scholar, The Ohio State University",,,,,,
461,Marcus Vinicius Merfa e Silva,Zinkicide is a ZnO-based nanoformulation with bactericidal activity against Liberibacter crescens in batch cultures and in microfluidic chambers simulating plant …,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",The Ohio State University,40.0056802,-83.0286612,Franklin County,Columbus,Ohio,United States
462,Maria Chuvochina,Lists of names of prokaryotic Candidatus taxa,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,The University of Queensland,-27.4974181,153.0131666,,,Queensland,Australia
463,Mariana Pegrucci Barcelos,Key aspects for achieving hits by virtual screening studies,"De Azevedo Jr., WF (2008)",Mestre,45.4943063,12.2418053,Venezia,Venice,Veneto,Italy
464,Mariana Pegrucci Barcelos,Key aspects for achieving hits by virtual screening studies,"De Azevedo Jr., WF (2008)",Universidade de São Paulo,-23.5652201,-46.712583,Região Metropolitana de São Paulo,São Paulo,São Paulo,Brazil
465,Mariana Pegrucci Barcelos,Lead optimization in drug discovery,"De Azevedo Jr., WF (2008)",Mestre,45.4943063,12.2418053,Venezia,Venice,Veneto,Italy
466,Mariana Pegrucci Barcelos,Lead optimization in drug discovery,"De Azevedo Jr., WF (2008)",Universidade de São Paulo,-23.5652201,-46.712583,Região Metropolitana de São Paulo,São Paulo,São Paulo,Brazil
467,Mark Gorelik,Diverse mechanisms and circuitry for global regulation by the RNA-binding protein CsrA,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Washington University in St. Louis,38.6472402,-90.3084017,,St. Louis,Missouri,United States
468,Marko R. Antonijević,"Inhibitory activity of quercetin, its metabolite, and standard antiviral drugs towards enzymes essential for SARS-CoV-2: The role of acid–base equilibria",Evaluation of molecular docking using polynomial empirical scoring functions,Junior Researcher,,,,,,
469,Marko R. Antonijević,"Inhibitory activity of quercetin, its metabolite, and standard antiviral drugs towards enzymes essential for SARS-CoV-2: The role of acid–base equilibria",Evaluation of molecular docking using polynomial empirical scoring functions,"Junior Researcher, Institute for Information Technologies, University of Kragujevac",,,,,,
470,Marko R. Antonijević,"Inhibitory activity of quercetin, its metabolite, and standard antiviral drugs towards enzymes essential for SARS-CoV-2: The role of acid–base equilibria",Evaluation of molecular docking using polynomial empirical scoring functions,University of Kragujevac,44.0225067,20.9204031,Sumadija Administrative District,Kragujevac,Central Serbia,Serbia
471,Marko Zivanovic," Synthesis, spectroscopic characterization, biological activity, DFT and molecular docking study of novel 4-hydroxycoumarine derivatives and corresponding …",Evaluation of molecular docking using polynomial empirical scoring functions,Institute of Information Technologies,41.2091237,69.1362088,Zangiota Tumani,,Tashkent Region,Uzbekistan
472,Marko Zivanovic," Synthesis, spectroscopic characterization, biological activity, DFT and molecular docking study of novel 4-hydroxycoumarine derivatives and corresponding …",Evaluation of molecular docking using polynomial empirical scoring functions,University of Kragujevac,44.0225067,20.9204031,Sumadija Administrative District,Kragujevac,Central Serbia,Serbia
473,Markus Reiher,Quantum computing for molecular biology,"De Azevedo Jr., WF (2008)",ETH Zurich,47.413218,8.5374914,District Zurich,Zurich,Zurich,Switzerland
474,Markus Reiher,Quantum computing for molecular biology,"De Azevedo Jr., WF (2008)","Professor of Theoretical Chemistry, ETH Zurich",,,,,,
475,Markus Reiher,Quantum computing for molecular biology,Molecular docking algorithms,ETH Zurich,47.413218,8.5374914,District Zurich,Zurich,Zurich,Switzerland
476,Markus Reiher,Quantum computing for molecular biology,Molecular docking algorithms,"Professor of Theoretical Chemistry, ETH Zurich",,,,,,
477,Martin Smieško,In Silico Toxicology in Drug Discovery — Concepts Based on Three-dimensional Models,Computational methods for calculation of ligand-binding affinity,"Department of Pharmaceutical Sciences, University of Basel",,,,,,
478,Martin Smieško,In Silico Toxicology in Drug Discovery — Concepts Based on Three-dimensional Models,Computational methods for calculation of ligand-binding affinity,University of Basel,47.5612651,7.5752961,,Basel,Basel-City,Switzerland
479,Matheus Nunes da Rocha,Ligand and structure-based virtual screening approaches in drug discovery: minireview,Computational methods for calculation of ligand-binding affinity,UECE,-3.787458,-38.5524787,,Fortaleza,Ceará,Brazil
480,Matheus Nunes da Rocha,Virtual screening of citrus flavonoid tangeretin: A promising pharmacological tool for the treatment and prevention of Zika fever and COVID-19,Computational methods for calculation of ligand-binding affinity,UECE,-3.787458,-38.5524787,,Fortaleza,Ceará,Brazil
481,Matthew Groh,Deep learning-aided decision support for diagnosis of skin disease across skin tones,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Northwestern University,42.0557157,-87.6752945,Cook County,Evanston,Illinois,United States
482,Matthew Lebo, The GenoVA study: Equitable implementation of a pragmatic randomized trial of polygenic-risk scoring in primary care,Genotype imputation and variability in polygenic risk score estimation,Brigham,54.6591021,-3.4191226,Cumberland,,England,United Kingdom
483,Matthew Lebo, The GenoVA study: Equitable implementation of a pragmatic randomized trial of polygenic-risk scoring in primary care,Genotype imputation and variability in polygenic risk score estimation,"Brigham and Woman's Hospital, Harvard Medical School, Mass General Brigham",,,,,,
484,Matthew Lebo, The GenoVA study: Equitable implementation of a pragmatic randomized trial of polygenic-risk scoring in primary care,Genotype imputation and variability in polygenic risk score estimation,Harvard Medical School,,,,,,
485,Matthew Lebo, The GenoVA study: Equitable implementation of a pragmatic randomized trial of polygenic-risk scoring in primary care,Genotype imputation and variability in polygenic risk score estimation,Mass General Brigham,42.3915308,-71.0788755,Middlesex County,Somerville,Massachusetts,United States
486,Matthew Lebo, The GenoVA study: Equitable implementation of a pragmatic randomized trial of polygenic-risk scoring in primary care,Genotype imputation and variability in polygenic risk score estimation,Woman's Hospital,30.3862299,-91.0376479,East Baton Rouge Parish,Baton Rouge,Louisiana,United States
487,Matthias C. Rillig,"Microplastics increase soil pH and decrease microbial activities as a function of microplastic shape, polymer type, and exposure time",Soil pH determines microbial diversity and composition in the park grass experiment,Freie Universität Berlin,52.4528564,13.2907249,,Berlin,,Germany
488,Matthias C. Rillig,"Microplastics increase soil pH and decrease microbial activities as a function of microplastic shape, polymer type, and exposure time",Soil pH determines microbial diversity and composition in the park grass experiment,"Professor of Ecology, Freie Universität Berlin, Germany",,,,,,
489,Matthias Christandl,Quantum computing for molecular biology,"De Azevedo Jr., WF (2008)",University of Copenhagen,55.6801502,12.572327,,Copenhagen,Capital Region of Denmark,Denmark
490,Matthias Christandl,Quantum computing for molecular biology,Molecular docking algorithms,University of Copenhagen,55.6801502,12.572327,,Copenhagen,Capital Region of Denmark,Denmark
491,Md. Musharaf hossain,[CITATION][C] Structural analysis and molecular docking of potential ligands with chorismate synthase of Listeria monocytogenes: A novel antibacterial drug target,"De Azevedo Jr., WF (2008)",University of Saskatchewan,52.1344194,-106.6277768,,Saskatoon,Saskatchewan,Canada
492,Md. Shakil mia,[CITATION][C] Structural analysis and molecular docking of potential ligands with chorismate synthase of Listeria monocytogenes: A novel antibacterial drug target,"De Azevedo Jr., WF (2008)",Mechanical Engineering,,,,,,
493,Melanie J Barnett,A high-throughput system to identify inhibitors of Candidatus Liberibacter asiaticus transcription regulators,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",Stanford University,37.4313138,-122.1693654,Santa Clara County,,California,United States
494,Melford Chuka Egbujor (Ph.D), Antioxidant drug design: historical and recent developments,Computational methods for calculation of ligand-binding affinity,Bayelsa State,4.7629786,6.028898,Southern Ijaw,,Bayelsa State,Nigeria
495,Melford Chuka Egbujor (Ph.D), Antioxidant drug design: historical and recent developments,Computational methods for calculation of ligand-binding affinity,Federal University Otuoke,4.7923855,6.3191242,Ogbia,Yenegoa,Bayelsa State,Nigeria
496,Melford Chuka Egbujor (Ph.D), Antioxidant drug design: historical and recent developments,Computational methods for calculation of ligand-binding affinity,"Lecturer/researcher, Department of Chemistry, Federal University Otuoke, Bayelsa State, Nigeria",,,,,,
497,Melina Kerou,Proteomics and comparative genomics of Nitrososphaera viennensis reveal the core genome and adaptations of archaeal ammonia oxidizers,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,University of Vienna,48.2131469,16.35997,,Vienna,,Austria
498,Michael Eriksen Benros,Leveraging haplotype information in heritability estimation and polygenic prediction,Genotype imputation and variability in polygenic risk score estimation,Mental Health Centre,-32.8977036,151.7207162,,Newcastle,New South Wales,Australia
499,Michael Eriksen Benros,Leveraging haplotype information in heritability estimation and polygenic prediction,Genotype imputation and variability in polygenic risk score estimation,"Professor; University of Copenhagen and Copenhagen University Hospital, Mental Health Centre",,,,,,
500,Michael Eriksen Benros,Leveraging haplotype information in heritability estimation and polygenic prediction,Genotype imputation and variability in polygenic risk score estimation,University of Copenhagen,55.6801502,12.572327,,Copenhagen,Capital Region of Denmark,Denmark
501,Miftakhul Cahyati,[BOOK][B] Simulasi Molekuler pada Bidang Pangan Fungsional: Prinsip Dasar dan Tutorial,"De Azevedo Jr., WF (2008)",Universitas Brawijaya,-7.9517799,112.6138632,Kota Malang,Malang,East Java,Indonesia
502,Mikael Knip,The role of the intestinal microbiota in type 1 diabetes mellitus,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Helsingin yliopisto,60.226722,25.01767,,Helsinki,Uusimaa,Finland
503,Mikhail N Ryazantsev,"Photopharmacological compounds based on azobenzenes and azoheteroarenes: Principles of molecular design, molecular modelling, and synthesis",Computational methods for calculation of ligand-binding affinity,Saint Petersburg State University,59.9406782,30.2964999,,Saint Petersburg,Saint Petersburg,Russia
504,Mikhail Rayko,Thousands of previously unknown phages discovered in whole-community human gut metagenomes,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,ITMO University,59.9567751,30.308711,,Saint Petersburg,Saint Petersburg,Russia
505,Mikhail Rayko,Thousands of previously unknown phages discovered in whole-community human gut metagenomes,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Institute of Cytology RAS,54.8475269,83.1066239,,Novosibirsk,Novosibirsk Oblast,Russia
506,Milos Antonijevic, Application of natural language processing and machine learning boosted with swarm intelligence for spam email filtering,Artificial intelligence in clinical and genomic diagnostics,Singidunum University,44.7821859,20.4787905,City of Belgrade,Belgrade,Central Serbia,Serbia
507,Minglei Ren,Phylogenomics suggests oxygen availability as a driving force in Thaumarchaeota evolution,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,CAS,5.5000085,-71.5000086,,,Casanare,Colombia
508,Miodrag Živković, Application of natural language processing and machine learning boosted with swarm intelligence for spam email filtering,Artificial intelligence in clinical and genomic diagnostics,Singidunum University,44.7821859,20.4787905,City of Belgrade,Belgrade,Central Serbia,Serbia
509,Mishael Sánchez-Pérez,A unified resource for transcriptional regulation in Escherichia coli K-12 incorporating high-throughput-generated binding data into RegulonDB version 10.0,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,IPICYT,22.1493302,-101.0350422,Municipio de San Luis Potosí,San Luis Potosí City,San Luis Potosí,Mexico
510,Mohamed A Amin," Computational, in vitro and radiation-based in vivo studies on acetamide quinazolinone derivatives as new proposed purine nucleoside phosphorylase …",Structural studies of human purine nucleoside phosphorylase: towards a new specific empirical scoring function,"Minia University, Egypt",28.1077815,30.7452561,,,Al Minya,Egypt
511,Mohamed A Amin," Computational, in vitro and radiation-based in vivo studies on acetamide quinazolinone derivatives as new proposed purine nucleoside phosphorylase …",Structural studies of human purine nucleoside phosphorylase: towards a new specific empirical scoring function,medicine,63.2115475,-154.689602,Unorganized Borough,,Alaska,United States
512,Mohamed Salih,Embryo selection through artificial intelligence versus embryologists: a systematic review,Artificial intelligence in clinical and genomic diagnostics,Monash University,-37.7839745,144.9586743,,Melbourne,Victoria,Australia
513,Mohammad Mahdi Ahadian,"Model fuel deep desulfurization using modified 3D graphenic adsorbents: isotherm, kinetic, and thermodynamic study","Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",Sharif University of Technology,35.7025215,51.3517293,Tehran County,Tehran,,Iran
514,Mohd Shahbaaz,Inhibiting CDK6 activity by quercetin is an attractive strategy for cancer therapy,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,University of Western Cape,-33.9327302,18.62864,City of Cape Town,,Western Cape,South Africa
515,Mohd. Yousuf,Inhibiting CDK6 activity by quercetin is an attractive strategy for cancer therapy,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,Jamia Millia Islamia,28.5584902,77.2811647,Defence Colony Tehsil,,Delhi,India
516,Morten Dybdahl Krebs,Accuracy of haplotype estimation and whole genome imputation affects complex trait analyses in complex biobanks,Genotype imputation and variability in polygenic risk score estimation,Post doc,31.9886244,-81.0224327,Chatham County,,Georgia,United States
517,Mostafa Ghorab," Computational, in vitro and radiation-based in vivo studies on acetamide quinazolinone derivatives as new proposed purine nucleoside phosphorylase …",Structural studies of human purine nucleoside phosphorylase: towards a new specific empirical scoring function,Professor of Applied Organic Chemistry,,,,,,
518,Muhammad Rendana,Microbial contamination of diesel-biodiesel blends in storage tank; an analysis of colony morphology,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",Sriwijaya University,-3.2255315,104.6459991,Ogan Ilir,,South Sumatra,Indonesia
